Clovis,CA,120124
Fairfield,CA,119881
Palm Bay,FL,119760
Richardson,TX,119469
Round Rock,TX,119468
Cambridge,MA,118403
Meridian,ID,117635
West Palm Beach,FL,117415
Evansville,IN,117298
Clearwater,FL,117292
Billings,MT,117116
West Jordan,UT,116961
Richmond,CA,116448
Westminster,CO,116317
Manchester,NH,115644
Lowell,MA,115554
Wilmington,NC,115451
Antioch,CA,115291
Beaumont,TX,115282
Provo,UT,115162
North Charleston,SC,114852
Elgin,IL,114797
Carlsbad,CA,114746
Odessa,TX,114428
Waterbury,CT,114403
Springfield,IL,114394
League City,TX,114392
Downey,CA,114355
Gresham,OR,114247
High Point,NC,114059
Broken Arrow,OK,113540
Peoria,IL,113150
Lansing,MI,112644
Lakeland,FL,112641
Pompano Beach,FL,112046
Costa Mesa,CA,111918
Pueblo,CO,111876
Lewisville,TX,111822
Miami Gardens,FL,111640
Las Cruces,NM,111385
Sugar Land,TX,111026
Murrieta,CA,110949
Ventura,CA,110763
Everett,WA,110629
Temecula,CA,110003
Dearborn,MI,109976
Santa Maria,CA,109707
West Covina,CA,109501
El Monte,CA,109450
Greeley,CO,108795
Sparks,NV,108445
Centennial,CO,108418
Boulder,CO,108250
Sandy Springs,GA,108080
Inglewood,CA,107762
Edison,NJ,107588
South Fulton,GA,107436
Green Bay,WI,107395
Burbank,CA,107337
Renton,WA,106785
Hillsboro,OR,106447
El Cajon,CA,106215
Tyler,TX,105995
Davie,FL,105691
San Mateo,CA,105661
Brockton,MA,105643
Concord,NC,105240
Jurupa Valley,CA,105053
Daly City,CA,104901
Allen,TX,104627
Rio Rancho,NM,104046
Rialto,CA,104026
Woodbridge,NJ,103639
South Bend,IN,103453
Spokane Valley,WA,102976
Norwalk,CA,102773
Menifee,CA,102527
Vacaville,CA,102386
Wichita Falls,TX,102316
Davenport,IA,101724
Quincy,MA,101636
Chico,CA,101475
Lynn,MA,101253
Lees Summit,MO,101108
New Bedford,MA,101079
Federal Way,WA,101030
Clinton,MI,100513
Edinburg,TX,100243
Nampa,ID,100200
Roanoke,VA,100011
Kenosha,WI,99986
San Angelo,TX,99893
Hesperia,CA,99818
Carmel,IN,99757
Tuscaloosa,AL,99600
Albany,NY,99224
Bend,OR,99178
Fishers,IN,98977
Longmont,CO,98885
Canton,MI,98659
Vista,CA,98381
Orem,UT,98129
Portsmouth,VA,97915
Beaverton,OR,97494
Boca Raton,FL,97422
Sunrise,FL,97335
Yakima,WA,96968
Sandy,UT,96904
Compton,CA,95740
Carson,CA,95558
Yuma,AZ,95548
Livonia,MI,95535
Toms River,NJ,95438
St George,UT,95342
Goodyear,AZ,95294
Reading,PA,95112
Lawrence,KS,94934
San Marcos,CA,94833
Erie,PA,94831
Asheville,NC,94589
Edmond,OK,94428
Suffolk,VA,94324
Fall River,MA,94000
Fayetteville,AR,93949
Deltona,FL,93692
Mission Viejo,CA,93653
Redding,CA,93611
Santa Monica,CA,93076
Tracy,CA,93000
Roswell,GA,92833
South Gate,CA,92726
Hoover,AL,92606
Hamilton,NJ,92297
Kirkland,WA,92175
Plantation,FL,91750
Buckeye,AZ,91502
Bellingham,WA,91482
Chino,CA,91403
Nashua,NH,91322
OFallon,MO,91316
Norwalk,CT,91184
San Leandro,CA,91008
Westminster,CA,90911
Trenton,NJ,90871
Mount Pleasant,SC,90801
New Braunfels,TX,90403
Lawton,OK,90381
Clifton,NJ,90296
Bloomington,MN,89987
Conroe,TX,89956
Hemet,CA,89833
Avondale,AZ,89334
Waukegan,IL,89321
Palm Coast,FL,89258
Lawrence,MA,89143
Fort Smith,AR,89142
Indio,CA,89137
Newton,MA,88923
Santa Barbara,CA,88665
Champaign,IL,88302
Hawthorne,CA,88083
Livermore,CA,87955
Citrus Heights,CA,87583
Greenville,NC,87521
Santa Fe,NM,87505
Ogden,UT,87321
Whittier,CA,87306
Troy,MI,87294
Auburn,WA,87256
Deerfield Beach,FL,86859
Duluth,MN,86697
Danbury,CT,86518
Brooklyn Park,MN,86478
Fort Myers,FL,86395
Merced,CA,86333
Lake Forest,CA,85858
Medford,OR,85824
Sioux City,IA,85797
Mission,TX,85778
Westland,MI,85420
Cicero,IL,85268
Newport Beach,CA,85239
Lake Charles,LA,84872
Melbourne,FL,84678
San Ramon,CA,84605
Redwood City,CA,84292
Springdale,AR,84161
Buena Park,CA,84034
Farmington Hills,MI,83986
Bryan,TX,83980
Kennewick,WA,83921
Baytown,TX,83701
Manteca,CA,83498
Franklin,TN,83454
Cranston,RI,82934
Miami Beach,FL,82890
Alhambra,CA,82868
Warwick,RI,82823
Lakewood,CA,82496
Largo,FL,82485
Johns Creek,GA,82453
Mountain View,CA,82376
Temple,TX,82073
Layton,UT,81773
Longview,TX,81638
Flint,MI,81252
Parma,OH,81146
Somerville,MA,81045
Plymouth,MN,81026
Homestead,FL,80737
Folsom,CA,80454
Gastonia,NC,80411
Boynton Beach,FL,80380
Warner Robins,GA,80308
Tustin,CA,80276
Milpitas,CA,80273
Pleasanton,CA,79871
New Rochelle,NY,79726
Pharr,TX,79715
Shelby,MI,79408
Rancho Cordova,CA,79332
Napa,CA,79246
Kissimmee,FL,79226
Bellflower,CA,79190
Bloomington,IN,79168
